,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
8876,0,138.1627906976744,Bangladesh,Australia,Dubai,43,65,5.064935064935065,2,18.0,3.0,73,1
63400,0,153.88235294117646,South Africa,New Zealand,Barbados,81,49,7.538461538461538,9,36.0,1.0,170,1
26137,0,177.6,South Africa,India,Chandigarh,74,49,6.391304347826087,9,26.0,1.0,149,1
41462,0,139.69230769230768,Sri Lanka,Australia,Melbourne,71,48,5.877551020408164,7,33.0,2.0,161,1
141977,0,130.3448275862069,Bangladesh,West Indies,Mirpur,17,84,4.893203883495145,2,20.0,1.0,98,2
101345,0,128.3953488372093,Pakistan,New Zealand,Dubai,43,71,5.532467532467532,6,28.0,1.0,127,2
146877,0,130.8,Bangladesh,Afghanistan,Chattogram,11,131,7.2110091743119265,4,39.0,3.0,139,2
144588,0,141.92307692307693,Australia,South Africa,Sydney,51,92,8.0,6,39.0,2.0,146,2
101590,0,128.3953488372093,Pakistan,South Africa,Dubai,7,140,7.433628318584072,1,32.0,5.0,144,2
97508,0,149.28571428571428,England,South Africa,Cape Town,81,36,5.538461538461538,7,33.0,2.0,183,2
37024,1,146.41666666666666,Pakistan,South Africa,Abu Dhabi,85,39,6.685714285714286,8,24.0,2.0,119,1
70415,0,166.28571428571428,Ireland,Netherlands,Dublin,35,88,6.211764705882353,7,27.0,1.0,128,1
20966,0,157.21428571428572,Pakistan,Zimbabwe,Harare,63,65,6.842105263157895,7,37.0,1.0,136,1
29977,0,153.14285714285714,South Africa,Sri Lanka,Colombo,0,159,7.95,5,51.0,2.0,163,1
147843,0,120.66666666666667,Ireland,Zimbabwe,Bready,4,118,6.103448275862069,1,24.0,2.0,119,2
34739,0,169.58823529411765,Sri Lanka,Australia,Pallekele,23,141,8.721649484536082,7,53.0,1.0,198,1
95036,0,146.28571428571428,Pakistan,India,Bengaluru,42,72,5.538461538461538,7,39.0,0.0,134,2
111987,0,138.07142857142858,Bangladesh,Zimbabwe,Harare,66,54,6.0,5,27.0,3.0,143,2
105048,0,149.27586206896552,South Africa,Australia,Johannesburg,83,48,7.783783783783783,8,31.0,2.0,168,2
68472,0,169.22222222222223,India,New Zealand,Mount Maunganui,79,54,7.902439024390244,9,44.0,0.0,163,1
68352,0,169.22222222222223,New Zealand,Sri Lanka,Mount Maunganui,77,68,9.488372093023255,10,40.0,0.0,182,1
173830,0,121.5,New Zealand,West Indies,Dominica,69,61,7.176470588235294,8,31.0,1.0,126,2
141925,0,130.3448275862069,Bangladesh,West Indies,Mirpur,67,50,5.660377358490566,7,32.0,0.0,98,2
41327,0,139.69230769230768,Australia,India,Melbourne,82,43,6.7894736842105265,8,30.0,2.0,131,1
145443,0,150.25,Zimbabwe,Netherlands,Rotterdam,48,96,8.0,6,28.0,2.0,150,2
168641,0,160.25,Afghanistan,Zimbabwe,Bulawayo,57,83,7.904761904761905,7,40.0,3.0,154,2
61665,0,179.8,Bangladesh,Afghanistan,Dehradun,81,46,7.076923076923077,8,38.0,1.0,134,1
1560,0,154.0,West Indies,Australia,St Lucia,50,70,6.0,5,25.0,3.0,105,1
165314,0,154.25,Australia,South Africa,Centurion,32,126,8.590909090909092,6,54.0,2.0,129,2
128216,0,161.66666666666666,West Indies,South Africa,St George's,61,92,9.35593220338983,9,29.0,1.0,161,2
167407,0,156.33333333333334,West Indies,Australia,Gros Islet,51,96,8.347826086956522,8,44.0,0.0,142,2
138951,0,126.0,West Indies,England,Kolkata,13,125,7.009345794392524,4,48.0,3.0,161,2
61859,0,179.8,Afghanistan,Bangladesh,Dehradun,14,133,7.528301886792453,6,38.0,1.0,145,1
22672,0,157.21428571428572,Zimbabwe,New Zealand,Harare,75,40,5.333333333333333,8,30.0,1.0,123,1
165575,0,154.25,Pakistan,South Africa,Centurion,70,85,10.2,9,58.0,0.0,149,2
98800,0,149.28571428571428,Australia,England,Cape Town,58,95,9.193548387096774,9,43.0,1.0,136,2
85279,0,171.66666666666666,West Indies,Australia,Gros Islet,1,139,7.008403361344539,4,45.0,2.0,145,1
20401,0,145.89473684210526,Zimbabwe,Bangladesh,Dhaka,8,112,6.0,4,35.0,3.0,119,1
46580,0,158.30769230769232,South Africa,West Indies,Durban,53,100,8.955223880597016,10,37.0,0.0,195,1
161405,0,151.16666666666666,Afghanistan,Ireland,Greater Noida,8,124,6.642857142857142,4,27.0,3.0,142,2
174445,0,137.0,Sri Lanka,Pakistan,King City,13,127,7.121495327102804,5,36.0,2.0,133,2
3563,0,154.71428571428572,India,South Africa,Bengaluru,31,98,6.606741573033708,4,22.0,3.0,134,1
113936,0,162.58333333333334,New Zealand,England,Hamilton,76,81,11.045454545454547,9,46.0,1.0,192,2
50631,0,168.66666666666666,New Zealand,Sri Lanka,Auckland,59,55,5.409836065573771,5,25.0,1.0,179,1
969,0,159.2,West Indies,India,Lauderhill,11,225,12.38532110091743,7,43.0,2.0,245,1
56428,0,155.71428571428572,India,England,Nagpur,6,139,7.315789473684211,5,34.0,2.0,144,1
11039,0,138.1627906976744,Sri Lanka,Pakistan,Dubai,6,138,7.2631578947368425,6,52.0,0.0,145,1
26287,0,146.14285714285714,Afghanistan,Zimbabwe,Sharjah,49,88,7.436619718309859,7,31.0,2.0,158,1
9304,0,138.1627906976744,Australia,Pakistan,Dubai,81,47,7.230769230769231,10,40.0,0.0,168,1
116363,0,136.78571428571428,Pakistan,Afghanistan,Sharjah,41,81,6.151898734177215,8,24.0,1.0,138,2
162529,0,147.33333333333334,South Africa,England,Chester-le-Street,10,116,6.327272727272728,7,32.0,0.0,119,2
27704,0,146.14285714285714,Zimbabwe,Afghanistan,Sharjah,59,68,6.688524590163935,6,20.0,4.0,120,1
156831,0,141.0,Pakistan,West Indies,St Vincent,28,117,7.630434782608695,4,34.0,2.0,158,2
18701,0,145.89473684210526,India,Bangladesh,Dhaka,12,149,8.277777777777779,6,67.0,1.0,166,1
157319,1,57.666666666666664,Ireland,West Indies,Guyana,89,23,4.451612903225806,6,18.0,3.0,68,2
94937,0,146.28571428571428,Australia,Bangladesh,Bengaluru,27,126,8.129032258064516,6,34.0,3.0,157,2
103750,0,149.27586206896552,South Africa,Australia,Johannesburg,44,78,6.157894736842105,2,34.0,1.0,89,2
174430,0,137.0,Sri Lanka,Pakistan,King City,27,113,7.290322580645161,6,33.0,2.0,133,2
141464,0,130.3448275862069,Bangladesh,Pakistan,Mirpur,62,52,5.379310344827586,6,21.0,3.0,140,2
77656,0,140.66666666666666,Sri Lanka,West Indies,Coolidge,28,102,6.652173913043478,5,31.0,3.0,131,1
96078,0,143.0,England,Pakistan,Nottingham,63,117,12.31578947368421,6,68.0,1.0,201,2
117932,0,135.609756097561,South Africa,India,Colombo,52,80,7.0588235294117645,7,34.0,0.0,151,2
142273,0,130.3448275862069,Bangladesh,Pakistan,Mirpur,69,64,7.529411764705882,7,38.0,1.0,143,2
26511,0,146.14285714285714,Netherlands,Sri Lanka,Sharjah,76,41,5.590909090909091,3,22.0,6.0,44,1
31279,0,153.14285714285714,Pakistan,India,Colombo,73,46,5.872340425531915,7,19.0,2.0,128,1
